0,1,2,3,4,5,6,7,8,9,10,11,12
2024-05-19,00,,30 °C,28 °C,—,0 mm,—,,15 km/h,—,1007 hPa,89 %
2024-05-19,01,,29 °C,27.9 °C,—,0 mm,—,,9 km/h,—,1006 hPa,94 %
2024-05-19,02,,28 °C,28 °C,—,0 mm,—,,4 km/h,—,1006 hPa,100 %
2024-05-19,03,,28 °C,28 °C,—,0 mm,—,,6 km/h,—,1006 hPa,100 %
2024-05-19,04,,28 °C,26.9 °C,—,0 mm,—,,6 km/h,—,1006 hPa,94 %
2024-05-19,05,,27 °C,27 °C,—,0 mm,—,,7 km/h,—,1006 hPa,100 %
2024-05-19,06,,28 °C,26.9 °C,—,0 mm,—,,9 km/h,—,1007 hPa,94 %
2024-05-19,07,,29 °C,27.9 °C,—,0 mm,—,,6 km/h,—,1008 hPa,94 %
2024-05-19,08,,29 °C,29 °C,—,0 mm,—,,6 km/h,—,1008 hPa,100 %
2024-05-19,09,,33 °C,27 °C,—,0 mm,—,,7 km/h,—,1008 hPa,71 %
2024-05-19,10,,33 °C,27 °C,—,0 mm,—,,13 km/h,—,1007 hPa,71 %
2024-05-19,11,,34 °C,26 °C,—,0 mm,—,,15 km/h,—,1007 hPa,63 %
2024-05-19,12,,34 °C,24 °C,—,0 mm,—,,15 km/h,—,1006 hPa,56 %
2024-05-19,13,,35 °C,24 °C,—,0 mm,—,,15 km/h,—,1005 hPa,53 %
2024-05-19,14,,34 °C,24 °C,—,0 mm,—,,13 km/h,—,1004 hPa,56 %
2024-05-19,15,,34 °C,24 °C,—,4.5 mm,—,,15 km/h,—,1003 hPa,56 %
2024-05-19,16,,34 °C,25.1 °C,—,1.4 mm,—,,17 km/h,—,1003 hPa,60 %
2024-05-19,17,,33 °C,26.1 °C,—,0.7 mm,—,,9 km/h,—,1003 hPa,67 %
2024-05-19,18,,32 °C,26.1 °C,—,0 mm,—,,7 km/h,—,1004 hPa,71 %
2024-05-19,19,,32 °C,28.1 °C,—,0 mm,—,,11 km/h,—,1004 hPa,80 %
2024-05-19,20,,31 °C,26 °C,—,0 mm,—,,15 km/h,—,1005 hPa,75 %
2024-05-19,21,,30 °C,27 °C,—,0 mm,—,,7 km/h,—,1006 hPa,84 %
2024-05-19,22,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1006 hPa,89 %
2024-05-19,23,,30 °C,28 °C,—,0.5 mm,—,,9 km/h,—,1007 hPa,89 %
2024-05-20,00,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1006 hPa,89 %
2024-05-20,01,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1005 hPa,89 %
2024-05-20,02,,30 °C,28 °C,—,0 mm,—,,9 km/h,—,1005 hPa,89 %
2024-05-20,03,,29 °C,27.9 °C,—,0 mm,—,,7 km/h,—,1005 hPa,94 %
2024-05-20,04,,29 °C,27.9 °C,—,0.1 mm,—,,2 km/h,—,1006 hPa,94 %
2024-05-20,05,,29 °C,27.9 °C,—,0 mm,—,,9 km/h,—,1006 hPa,94 %
2024-05-20,06,,27 °C,26 °C,—,0 mm,—,,19 km/h,—,1008 hPa,94 %
2024-05-20,07,,27 °C,26 °C,—,0 mm,—,,9 km/h,—,1008 hPa,94 %
2024-05-20,08,,27 °C,27 °C,—,0 mm,—,,9 km/h,—,1008 hPa,100 %
2024-05-20,09,,30 °C,28 °C,—,0.2 mm,—,,6 km/h,—,1008 hPa,89 %
2024-05-20,10,,32 °C,27 °C,—,0 mm,—,,7 km/h,—,1007 hPa,75 %
2024-05-20,11,,33 °C,27 °C,—,0.1 mm,—,,7 km/h,—,1007 hPa,71 %
2024-05-20,12,,34 °C,26 °C,—,0 mm,—,,9 km/h,—,1005 hPa,63 %
2024-05-20,13,,35 °C,24.9 °C,—,0 mm,—,,13 km/h,—,1005 hPa,56 %
2024-05-20,14,,36 °C,24.9 °C,—,4.2 mm,—,,13 km/h,—,1004 hPa,53 %
2024-05-20,15,,36 °C,24.9 °C,—,1.1 mm,—,,13 km/h,—,1003 hPa,53 %
2024-05-20,16,,36 °C,24.9 °C,—,0 mm,—,,13 km/h,—,1002 hPa,53 %
2024-05-20,17,,29 °C,27.9 °C,—,0 mm,—,,24 km/h,—,1003 hPa,94 %
2024-05-20,18,,29 °C,27.9 °C,—,0.4 mm,—,,11 km/h,—,1005 hPa,94 %
2024-05-20,19,,28 °C,26.9 °C,—,0 mm,—,,15 km/h,—,1006 hPa,94 %
2024-05-20,20,,28 °C,26.9 °C,—,0 mm,—,,15 km/h,—,1007 hPa,94 %
2024-05-20,21,,28 °C,26.9 °C,—,0.2 mm,—,,15 km/h,—,1007 hPa,94 %
2024-05-20,22,,27 °C,27 °C,—,0 mm,—,,11 km/h,—,1008 hPa,100 %
2024-05-20,23,,27 °C,26 °C,—,0 mm,—,,22 km/h,—,1009 hPa,94 %
2024-05-21,00,,26 °C,26 °C,—,2.1 mm,—,,24 km/h,—,1009 hPa,100 %
2024-05-21,01,,26 °C,25 °C,—,0.5 mm,—,,13 km/h,—,1007 hPa,94 %
2024-05-21,02,,26 °C,25 °C,—,0 mm,—,,4 km/h,—,1006 hPa,94 %
2024-05-21,03,,26 °C,26 °C,—,0 mm,—,,4 km/h,—,1007 hPa,100 %
2024-05-21,04,,26 °C,26 °C,—,0 mm,—,,4 km/h,—,1007 hPa,100 %
2024-05-21,05,,26 °C,26 °C,—,0 mm,—,,2 km/h,—,1007 hPa,100 %
2024-05-21,06,,26 °C,25 °C,—,0 mm,—,,24 km/h,—,1009 hPa,94 %
2024-05-21,07,,26 °C,25 °C,—,0 mm,—,,20 km/h,—,1009 hPa,94 %
2024-05-21,08,,26 °C,25 °C,—,1 mm,—,,13 km/h,—,1009 hPa,94 %
2024-05-21,09,,29 °C,26 °C,—,0 mm,—,,4 km/h,—,1009 hPa,84 %
2024-05-21,10,,32 °C,26.1 °C,—,3.1 mm,—,,2 km/h,—,1008 hPa,71 %
2024-05-21,11,,33 °C,25 °C,—,0 mm,—,,6 km/h,—,1008 hPa,63 %
2024-05-21,12,,33 °C,25 °C,—,0.2 mm,—,,11 km/h,—,1007 hPa,63 %
2024-05-21,13,,33 °C,25 °C,—,0.9 mm,—,,7 km/h,—,1007 hPa,63 %
2024-05-21,14,,34 °C,25.1 °C,—,2.1 mm,—,,11 km/h,—,1005 hPa,60 %
2024-05-21,15,,35 °C,24.9 °C,—,2.6 mm,—,,15 km/h,—,1005 hPa,56 %
2024-05-21,16,,35 °C,24 °C,—,4.7 mm,—,,13 km/h,—,1005 hPa,53 %
2024-05-21,17,,27 °C,26 °C,—,0.3 mm,—,,11 km/h,—,1006 hPa,94 %
2024-05-21,18,,28 °C,26.9 °C,—,0 mm,—,,4 km/h,—,1006 hPa,94 %
2024-05-21,19,,28 °C,26.9 °C,—,0 mm,—,,4 km/h,—,1007 hPa,94 %
2024-05-21,20,,28 °C,26.9 °C,—,0 mm,—,,7 km/h,—,1008 hPa,94 %
2024-05-21,21,,28 °C,26.9 °C,—,0.1 mm,—,,6 km/h,—,1008 hPa,94 %
2024-05-21,22,,28 °C,26.9 °C,—,0.2 mm,—,,2 km/h,—,1008 hPa,94 %
2024-05-21,23,,28 °C,26.9 °C,—,0 mm,—,,4 km/h,—,1009 hPa,94 %
2024-05-22,00,,28 °C,26.9 °C,—,0 mm,—,,2 km/h,—,1009 hPa,94 %
2024-05-22,01,,28 °C,26.9 °C,—,0 mm,—,,11 km/h,—,1008 hPa,94 %
2024-05-22,02,,28 °C,26.9 °C,—,0 mm,—,,4 km/h,—,1008 hPa,94 %
2024-05-22,03,,27 °C,27 °C,—,0 mm,—,,6 km/h,—,1008 hPa,100 %
2024-05-22,04,,28 °C,26.9 °C,—,0 mm,—,,4 km/h,—,1007 hPa,94 %
2024-05-22,05,,27 °C,27 °C,—,0 mm,—,,2 km/h,—,1008 hPa,100 %
2024-05-22,06,,28 °C,26.9 °C,—,0 mm,—,,2 km/h,—,1009 hPa,94 %
2024-05-22,07,,29 °C,27.9 °C,—,0 mm,—,,4 km/h,—,1009 hPa,94 %
2024-05-22,08,,30 °C,28 °C,—,0 mm,—,,6 km/h,—,1009 hPa,89 %
2024-05-22,09,,33 °C,27 °C,—,0 mm,—,,7 km/h,—,1009 hPa,71 %
2024-05-22,10,,33 °C,25 °C,—,0 mm,—,,4 km/h,—,1009 hPa,63 %
2024-05-22,11,,35 °C,24.9 °C,—,0 mm,—,,6 km/h,—,1008 hPa,56 %
2024-05-22,12,,35 °C,24 °C,—,0 mm,—,,7 km/h,—,1007 hPa,53 %
2024-05-22,13,,30 °C,27 °C,—,0 mm,—,,24 km/h,—,1007 hPa,84 %
2024-05-22,14,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1005 hPa,89 %
2024-05-22,15,,31 °C,28 °C,—,1.8 mm,—,,11 km/h,—,1005 hPa,84 %
2024-05-22,16,,31 °C,28 °C,—,0.7 mm,—,,7 km/h,—,1005 hPa,84 %
2024-05-22,17,,30 °C,26 °C,—,2.8 mm,—,,7 km/h,—,1006 hPa,79 %
2024-05-22,18,,30 °C,26 °C,—,0.4 mm,—,,6 km/h,—,1006 hPa,79 %
2024-05-22,19,,30 °C,27 °C,—,0 mm,—,,13 km/h,—,1007 hPa,84 %
2024-05-22,20,,30 °C,27 °C,—,0 mm,—,,9 km/h,—,1007 hPa,84 %
2024-05-22,21,,30 °C,27 °C,—,0 mm,—,,9 km/h,—,1008 hPa,84 %
2024-05-22,22,,30 °C,28 °C,—,0 mm,—,,9 km/h,—,1008 hPa,89 %
2024-05-22,23,,30 °C,28 °C,—,0 mm,—,,6 km/h,—,1008 hPa,89 %
2024-05-23,00,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1008 hPa,89 %
2024-05-23,01,,29 °C,27.9 °C,—,0 mm,—,,7 km/h,—,1008 hPa,94 %
2024-05-23,02,,28 °C,28 °C,—,0 mm,—,,6 km/h,—,1007 hPa,100 %
2024-05-23,03,,28 °C,26.9 °C,—,0 mm,—,,6 km/h,—,1007 hPa,94 %
2024-05-23,04,,28 °C,26.9 °C,—,0 mm,—,,2 km/h,—,1007 hPa,94 %
2024-05-23,05,,28 °C,26.9 °C,—,0 mm,—,,6 km/h,—,1007 hPa,94 %
2024-05-23,06,,29 °C,27.9 °C,—,0 mm,—,,7 km/h,—,1007 hPa,94 %
2024-05-23,07,,30 °C,28 °C,—,0 mm,—,,4 km/h,—,1008 hPa,89 %
2024-05-23,08,,31 °C,28 °C,—,0 mm,—,,2 km/h,—,1008 hPa,84 %
2024-05-23,09,,32 °C,27 °C,—,0 mm,—,,6 km/h,—,1009 hPa,75 %
2024-05-23,10,,33 °C,26.1 °C,—,0.1 mm,—,,7 km/h,—,1009 hPa,67 %
2024-05-23,11,,34 °C,27 °C,—,0.6 mm,—,,9 km/h,—,1008 hPa,67 %
2024-05-23,12,,29 °C,25 °C,—,8.3 mm,—,,11 km/h,—,1008 hPa,79 %
2024-05-23,13,,28 °C,26.9 °C,—,2.8 mm,—,,11 km/h,—,1007 hPa,94 %
2024-05-23,14,,28 °C,26.9 °C,—,0.9 mm,—,,11 km/h,—,1006 hPa,94 %
2024-05-23,15,,29 °C,27 °C,—,0.1 mm,—,,2 km/h,—,1005 hPa,89 %
2024-05-23,16,,29 °C,27 °C,—,0 mm,—,,4 km/h,—,1005 hPa,89 %
2024-05-23,17,,29 °C,27 °C,—,0.5 mm,—,,4 km/h,—,1006 hPa,89 %
2024-05-23,18,,28 °C,26.9 °C,—,0.1 mm,—,,7 km/h,—,1007 hPa,94 %
2024-05-23,19,,28 °C,26.9 °C,—,0.2 mm,—,,4 km/h,—,1008 hPa,94 %
2024-05-23,20,,29 °C,27 °C,—,0 mm,—,,4 km/h,—,1008 hPa,89 %
2024-05-23,21,,29 °C,27 °C,—,0 mm,—,,6 km/h,—,1009 hPa,89 %
2024-05-23,22,,28 °C,26.9 °C,—,0 mm,—,,2 km/h,—,1009 hPa,94 %
2024-05-23,23,,28 °C,26.9 °C,—,0 mm,—,,6 km/h,—,1009 hPa,94 %
2024-05-24,00,,28 °C,26.9 °C,—,0 mm,—,,4 km/h,—,1009 hPa,94 %
2024-05-24,01,,28 °C,26.9 °C,—,0 mm,—,,3.7 km/h,—,1008 hPa,94 %
2024-05-24,02,,27 °C,27 °C,—,0 mm,—,,2 km/h,—,1007 hPa,100 %
2024-05-24,03,,27 °C,27 °C,—,0 mm,—,,2 km/h,—,1007 hPa,100 %
2024-05-24,04,,27 °C,27 °C,—,0 mm,—,,4 km/h,—,1007 hPa,100 %
2024-05-24,05,,27 °C,27 °C,—,0 mm,—,,4 km/h,—,1007 hPa,100 %
2024-05-24,06,,28 °C,28 °C,—,0 mm,—,,4 km/h,—,1008 hPa,100 %
2024-05-24,07,,30 °C,28 °C,—,0 mm,—,,4 km/h,—,1009 hPa,89 %
2024-05-24,08,,30 °C,28.9 °C,—,0 mm,—,,4 km/h,—,1009 hPa,94 %
2024-05-24,09,,32 °C,26.1 °C,—,0 mm,—,,2 km/h,—,1009 hPa,71 %
2024-05-24,10,,34 °C,25.1 °C,—,0 mm,—,,2 km/h,—,1008 hPa,60 %
2024-05-24,11,,35 °C,24 °C,—,0 mm,—,,4 km/h,—,1008 hPa,53 %
2024-05-24,12,,36 °C,23.9 °C,—,0 mm,—,,7 km/h,—,1007 hPa,50 %
2024-05-24,13,,36 °C,23.9 °C,—,0 mm,—,,7 km/h,—,1007 hPa,50 %
2024-05-24,14,,36 °C,23.9 °C,—,0 mm,—,,9 km/h,—,1005 hPa,50 %
2024-05-24,15,,35 °C,24 °C,—,0 mm,—,,9 km/h,—,1005 hPa,53 %
2024-05-24,16,,35 °C,24.9 °C,—,0 mm,—,,11 km/h,—,1004 hPa,56 %
2024-05-24,17,,31 °C,26 °C,—,0 mm,—,,15 km/h,—,1006 hPa,75 %
2024-05-24,18,,30 °C,28 °C,—,0 mm,—,,2 km/h,—,1006 hPa,89 %
2024-05-24,19,,31 °C,26.9 °C,—,0 mm,—,,7 km/h,—,1007 hPa,79 %
2024-05-24,20,,31 °C,26.9 °C,—,0 mm,—,,7 km/h,—,1008 hPa,79 %
2024-05-24,21,,31 °C,26.9 °C,—,0 mm,—,,9 km/h,—,1008 hPa,79 %
2024-05-24,22,,31 °C,28 °C,—,0 mm,—,,11 km/h,—,1009 hPa,84 %
2024-05-24,23,,30 °C,28 °C,—,0 mm,—,,11 km/h,—,1009 hPa,89 %
2024-05-25,00,,30 °C,28 °C,—,0 mm,—,,11 km/h,—,1009 hPa,89 %
2024-05-25,01,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1008 hPa,89 %
2024-05-25,02,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1008 hPa,89 %
2024-05-25,03,,30 °C,28 °C,—,0 mm,—,,6 km/h,—,1008 hPa,89 %
2024-05-25,04,,30 °C,28 °C,—,0 mm,—,,2 km/h,—,1008 hPa,89 %
2024-05-25,05,,30 °C,28 °C,—,0 mm,—,,4 km/h,—,1008 hPa,89 %
2024-05-25,06,,31 °C,28 °C,—,0 mm,—,,4 km/h,—,1009 hPa,84 %
2024-05-25,07,,31 °C,28 °C,—,0 mm,—,,9 km/h,—,1009 hPa,84 %
2024-05-25,08,,32 °C,28.1 °C,—,0 mm,—,,9 km/h,—,1009 hPa,80 %
2024-05-25,09,,33 °C,26.1 °C,—,0 mm,—,,9 km/h,—,1010 hPa,67 %
2024-05-25,10,,34 °C,25.1 °C,—,0 mm,—,,9 km/h,—,1009 hPa,60 %
2024-05-25,11,,35 °C,24.9 °C,—,0 mm,—,,13 km/h,—,1008 hPa,56 %
2024-05-25,12,,35 °C,24 °C,—,0.2 mm,—,,9 km/h,—,1008 hPa,53 %
2024-05-25,13,,36 °C,23.9 °C,—,1.2 mm,—,,7 km/h,—,1008 hPa,50 %
2024-05-25,14,,35 °C,24.9 °C,—,0.1 mm,—,,15 km/h,—,1006 hPa,56 %
2024-05-25,15,,36 °C,24.9 °C,—,0.4 mm,—,,15 km/h,—,1005 hPa,53 %
2024-05-25,16,,35 °C,24 °C,—,0 mm,—,,17 km/h,—,1005 hPa,53 %
2024-05-25,17,,34 °C,24 °C,—,0 mm,—,,15 km/h,—,1005 hPa,56 %
2024-05-25,18,,32 °C,26.1 °C,—,0 mm,—,,17 km/h,—,1006 hPa,71 %
2024-05-25,19,,32 °C,28.1 °C,—,0 mm,—,,13 km/h,—,1007 hPa,80 %
2024-05-25,20,,31 °C,28 °C,—,0 mm,—,,13 km/h,—,1008 hPa,84 %
2024-05-25,21,,31 °C,28 °C,—,0 mm,—,,15 km/h,—,1009 hPa,84 %
2024-05-25,22,,31 °C,28 °C,—,0.2 mm,—,,13 km/h,—,1010 hPa,84 %
2024-05-25,23,,31 °C,28 °C,—,0.5 mm,—,,9 km/h,—,1010 hPa,84 %
2024-05-26,00,,31 °C,28 °C,—,0.9 mm,—,,6 km/h,—,1010 hPa,84 %
2024-05-26,01,,31 °C,28 °C,—,0 mm,—,,9 km/h,—,1009 hPa,84 %
2024-05-26,02,,30 °C,27 °C,—,0 mm,—,,7 km/h,—,1009 hPa,84 %
2024-05-26,03,,28 °C,26 °C,—,0 mm,—,,9 km/h,—,1009 hPa,89 %
2024-05-26,04,,26 °C,26 °C,—,0 mm,—,,19 km/h,—,1009 hPa,100 %
2024-05-26,05,,27 °C,26 °C,—,0 mm,—,,7 km/h,—,1009 hPa,94 %
2024-05-26,06,,27 °C,26 °C,—,0 mm,—,,2 km/h,—,1009 hPa,94 %
2024-05-26,07,,29 °C,27.9 °C,—,0 mm,—,,4 km/h,—,1011 hPa,94 %
2024-05-26,08,,30 °C,28 °C,—,0 mm,—,,6 km/h,—,1011 hPa,89 %
2024-05-26,09,,31 °C,28 °C,—,0 mm,—,,2 km/h,—,1011 hPa,84 %
2024-05-26,10,,33 °C,27 °C,—,0 mm,—,,2 km/h,—,1010 hPa,71 %
2024-05-26,11,,34 °C,27 °C,—,0 mm,—,,2 km/h,—,1009 hPa,67 %
2024-05-26,12,,35 °C,24.9 °C,—,0 mm,—,,2 km/h,—,1009 hPa,56 %
2024-05-26,13,,35 °C,24 °C,—,0 mm,—,,2 km/h,—,1008 hPa,53 %
2024-05-26,14,,32 °C,26.1 °C,—,0 mm,—,,2 km/h,—,1007 hPa,71 %
2024-05-26,15,,29 °C,26 °C,—,0.3 mm,—,,15 km/h,—,1007 hPa,84 %
2024-05-26,16,,31 °C,26 °C,—,0.3 mm,—,,13 km/h,—,1007 hPa,75 %
2024-05-26,17,,32 °C,26.1 °C,—,0.4 mm,—,,13 km/h,—,1006 hPa,71 %
2024-05-26,18,,31 °C,26 °C,—,0.2 mm,—,,9 km/h,—,1007 hPa,75 %
2024-05-26,19,,31 °C,26 °C,—,0.5 mm,—,,13 km/h,—,1007 hPa,75 %
2024-05-26,20,,31 °C,26 °C,—,0 mm,—,,11 km/h,—,1008 hPa,75 %
2024-05-26,21,,30 °C,26 °C,—,0 mm,—,,11 km/h,—,1009 hPa,79 %
2024-05-26,22,,30 °C,26 °C,—,0 mm,—,,7 km/h,—,1009 hPa,79 %
2024-05-26,23,,30 °C,27 °C,—,0 mm,—,,7 km/h,—,1009 hPa,84 %
